Product page URL,Product name,Brand name,Retailer,Product description,Color,Original price,Sale price,Product image URL,Size availability
https://www.shopbop.com/onyx-rectangle-bold-pendant-necklace/vp/v=1/1540192802.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2004597130&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_69,Onyx Rectangle Bold Pendant Necklace,MAYAMAR,Shopbop,MAYAMAROnyx Rectangle Bold Pendant Necklace,ONYX,$160.00,$96.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/mayam/mayam3003813347/mayam3003813347_1764631411980_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/soft-ruffle-metallic-socks-stems/vp/v=1/1513696919.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2014337956&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_EP_68,Soft Ruffle Metallic Socks,Stems,Shopbop,StemsSoft Ruffle Metallic Socks,Copper,$22.00,$13.20,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/stems/stems3015510487/stems3015510487_1731679362720_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/abby-bracelet-isabel-marant/vp/v=1/1512904079.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2021910482&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_DB_67,Bracelet,Isabel Marant,Shopbop,Isabel MarantBracelet,Silver,$370.00,$222.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/ismdb/ismdb3233812208/ismdb3233812208_1757367316800_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/rock-candy-bracelet-elsie-frieda/vp/v=1/1580211441.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2077377573&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_66,Rock Candy Bracelet Set of 3,Elsie Frieda,Shopbop,Elsie FriedaRock Candy Bracelet Set of 3,Blue Lagoon,$165.00,$99.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/elsie/elsie3001712102/elsie3001712102_1762276086507_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/inez-satin-headband-sea/vp/v=1/1559826509.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2003679097&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_65,Inez Satin Headband,Sea,Shopbop,SeaInez Satin Headband,Black,$95.00,$57.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/seaaa/seaaa225161071b/seaaa225161071b_1761589180045_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/suede-danier-belt-jenni-kayne/vp/v=1/1536580626.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2042764236&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_64,Suede Danier Belt,Jenni Kayne,Shopbop,Jenni KayneSuede Danier Belt,Brown,$365.00,$219.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/jkayn/jkayn3035011409/jkayn3035011409_1757949409794_2-0._QL90_UX1128_.jpg,XS
https://www.shopbop.com/spoon-earrings-annika-inez/vp/v=1/1511375308.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2092424773&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_63,Spoon Earrings,Annika Inez,Shopbop,Annika InezSpoon Earrings,Gold,$375.00,$225.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/annik/annik30039129b4/annik30039129b4_1761937734389_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/rectangle-drop-earrings-elsie-frieda/vp/v=1/1504107914.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2027117951&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_62,Rectangle Drop Earrings,Elsie Frieda,Shopbop,Elsie FriedaRectangle Drop Earrings,Caribbean Sea,$215.00,$129.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/elsie/elsie3001827dd5/elsie3001827dd5_1762534475063_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/chunky-chain-link-toggle-bracelet/vp/v=1/1533711386.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2065053725&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_61,Chunky Chain Link Toggle Bracelet,By Adina Eden,Shopbop,By Adina EdenChunky Chain Link Toggle Bracelet,Gold,$78.00,$46.80,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/adije/adije3065911739/adije3065911739_1757015450463_2-0._QL90_UX1128_.jpg,One Size
https://www.shopbop.com/miremba-kimeze/vp/v=1/1527090421.htm?os=false&breadcrumb=Shop+Women%27s%3EJewelry+%26+Accessories&folderID=13539&colorSin=2030457224&fm=browse-page-web&ref_=SB_PLP_PDP_W_ACCES_13539_NB_60,Miremba Sunglasses,KIMEZE,Shopbop,KIMEZEMiremba Sunglasses,Dark Gold,$415.00,$249.00,https://m.media-amazon.com/images/G/01/Shopbop/p/prod/products/kmeze/kmeze3003616173/kmeze3003616173_1760543112664_2-0._QL90_UX1128_.jpg,One Size
